********************For 0th molecule****************
Z: 17.0 | positon: (0.03,-0.89,-0.48) | Expt.Chrg: -0.369 | Predicted: -0.151 | Diff: -0.218
Z: 8.0 | positon: (1.21,-2.12,5.09) | Expt.Chrg: 0.298 | Predicted: -0.091 | Diff: 0.389
Z: 6.0 | positon: (1.09,-1.99,5.81) | Expt.Chrg: -0.113 | Predicted: -0.009 | Diff: -0.104
Z: 6.0 | positon: (2.99,0.22,4.60) | Expt.Chrg: 0.173 | Predicted: -0.008 | Diff: 0.181
Z: 6.0 | positon: (1.83,1.33,5.75) | Expt.Chrg: -0.137 | Predicted: -0.008 | Diff: -0.129
Z: 7.0 | positon: (0.37,0.18,6.67) | Expt.Chrg: -0.159 | Predicted: -0.044 | Diff: -0.116
Z: 6.0 | positon: (-0.05,1.58,5.95) | Expt.Chrg: -0.235 | Predicted: -0.009 | Diff: -0.226
Z: 6.0 | positon: (-1.91,2.43,4.51) | Expt.Chrg: 0.088 | Predicted: -0.009 | Diff: 0.098
Z: 6.0 | positon: (-1.86,0.04,4.44) | Expt.Chrg: -0.088 | Predicted: -0.009 | Diff: -0.079
Z: 6.0 | positon: (-2.18,-0.92,4.92) | Expt.Chrg: -0.329 | Predicted: -0.009 | Diff: -0.320
Z: 6.0 | positon: (-1.53,-1.08,6.16) | Expt.Chrg: 0.079 | Predicted: -0.008 | Diff: 0.088
Z: 7.0 | positon: (0.80,-1.22,5.78) | Expt.Chrg: -0.083 | Predicted: -0.045 | Diff: -0.038
Z: 1.0 | positon: (-0.08,0.37,1.87) | Expt.Chrg: 0.141 | Predicted: 0.031 | Diff: 0.110
Z: 1.0 | positon: (3.16,0.13,4.98) | Expt.Chrg: -0.234 | Predicted: 0.031 | Diff: -0.265
Z: 1.0 | positon: (2.63,1.64,5.42) | Expt.Chrg: 0.070 | Predicted: 0.031 | Diff: 0.039
Z: 1.0 | positon: (-0.52,1.67,7.81) | Expt.Chrg: 0.118 | Predicted: 0.031 | Diff: 0.087
Z: 1.0 | positon: (0.88,2.23,5.89) | Expt.Chrg: 0.180 | Predicted: 0.031 | Diff: 0.150
Z: 1.0 | positon: (-2.58,1.39,6.15) | Expt.Chrg: 0.245 | Predicted: 0.031 | Diff: 0.214
Z: 1.0 | positon: (-1.39,2.58,4.16) | Expt.Chrg: -0.106 | Predicted: 0.031 | Diff: -0.137
Z: 1.0 | positon: (-4.07,0.42,4.66) | Expt.Chrg: -0.070 | Predicted: 0.031 | Diff: -0.101
Z: 1.0 | positon: (-1.25,0.53,4.34) | Expt.Chrg: 0.055 | Predicted: 0.031 | Diff: 0.024
Z: 1.0 | positon: (-3.49,-0.23,4.98) | Expt.Chrg: 0.095 | Predicted: 0.031 | Diff: 0.064
Z: 1.0 | positon: (-2.83,-1.23,3.24) | Expt.Chrg: 0.234 | Predicted: 0.031 | Diff: 0.203
Z: 1.0 | positon: (0.11,-2.11,7.33) | Expt.Chrg: 0.022 | Predicted: 0.031 | Diff: -0.009
Z: 1.0 | positon: (-0.77,-2.99,6.01) | Expt.Chrg: 0.126 | Predicted: 0.031 | Diff: 0.095
******************************************************
********************For 1th molecule****************
Z: 17.0 | positon: (0.47,1.13,-0.28) | Expt.Chrg: -0.299 | Predicted: -0.151 | Diff: -0.148
Z: 8.0 | positon: (1.30,-2.77,5.52) | Expt.Chrg: -0.059 | Predicted: -0.090 | Diff: 0.030
Z: 6.0 | positon: (0.83,-0.62,4.86) | Expt.Chrg: -0.022 | Predicted: -0.008 | Diff: -0.014
Z: 6.0 | positon: (2.10,-0.32,4.52) | Expt.Chrg: 0.014 | Predicted: -0.008 | Diff: 0.022
Z: 6.0 | positon: (1.29,0.94,6.04) | Expt.Chrg: -0.127 | Predicted: -0.009 | Diff: -0.118
Z: 7.0 | positon: (0.36,0.41,5.46) | Expt.Chrg: -0.222 | Predicted: -0.045 | Diff: -0.177
Z: 6.0 | positon: (-1.13,2.13,6.50) | Expt.Chrg: -0.085 | Predicted: -0.009 | Diff: -0.076
Z: 6.0 | positon: (-1.87,1.90,5.40) | Expt.Chrg: -0.034 | Predicted: -0.009 | Diff: -0.025
Z: 6.0 | positon: (-2.38,0.95,5.04) | Expt.Chrg: -0.339 | Predicted: -0.009 | Diff: -0.330
Z: 6.0 | positon: (-2.39,-0.90,5.03) | Expt.Chrg: -0.226 | Predicted: -0.009 | Diff: -0.217
Z: 6.0 | positon: (-1.30,-1.90,6.20) | Expt.Chrg: -0.009 | Predicted: -0.009 | Diff: -0.001
Z: 7.0 | positon: (-0.26,-1.06,5.18) | Expt.Chrg: -0.363 | Predicted: -0.044 | Diff: -0.319
Z: 1.0 | positon: (-0.21,-0.27,1.61) | Expt.Chrg: 0.190 | Predicted: 0.031 | Diff: 0.160
Z: 1.0 | positon: (2.86,-0.17,5.48) | Expt.Chrg: 0.228 | Predicted: 0.031 | Diff: 0.197
Z: 1.0 | positon: (2.25,2.65,5.83) | Expt.Chrg: 0.206 | Predicted: 0.031 | Diff: 0.175
Z: 1.0 | positon: (-0.24,1.81,7.34) | Expt.Chrg: 0.266 | Predicted: 0.031 | Diff: 0.235
Z: 1.0 | positon: (0.95,3.02,6.96) | Expt.Chrg: -0.013 | Predicted: 0.031 | Diff: -0.044
Z: 1.0 | positon: (-2.97,1.17,6.17) | Expt.Chrg: 0.226 | Predicted: 0.031 | Diff: 0.195
Z: 1.0 | positon: (-1.41,3.68,4.36) | Expt.Chrg: -0.117 | Predicted: 0.031 | Diff: -0.147
Z: 1.0 | positon: (-4.01,-0.32,4.94) | Expt.Chrg: 0.231 | Predicted: 0.031 | Diff: 0.201
Z: 1.0 | positon: (-1.70,0.02,3.99) | Expt.Chrg: 0.239 | Predicted: 0.031 | Diff: 0.208
Z: 1.0 | positon: (-3.05,-0.64,6.49) | Expt.Chrg: 0.047 | Predicted: 0.031 | Diff: 0.016
Z: 1.0 | positon: (-2.11,-1.50,4.51) | Expt.Chrg: 0.087 | Predicted: 0.031 | Diff: 0.057
Z: 1.0 | positon: (-1.49,-1.22,7.86) | Expt.Chrg: 0.098 | Predicted: 0.031 | Diff: 0.067
Z: 1.0 | positon: (-0.11,-1.57,5.63) | Expt.Chrg: 0.084 | Predicted: 0.031 | Diff: 0.053
******************************************************
********************For 2th molecule****************
Z: 17.0 | positon: (-0.07,-0.56,0.15) | Expt.Chrg: -0.178 | Predicted: -0.151 | Diff: -0.026
Z: 8.0 | positon: (2.42,-2.55,4.74) | Expt.Chrg: -0.109 | Predicted: -0.089 | Diff: -0.021
Z: 6.0 | positon: (0.83,-1.34,5.37) | Expt.Chrg: 0.040 | Predicted: -0.008 | Diff: 0.048
Z: 6.0 | positon: (1.76,-0.30,4.83) | Expt.Chrg: -0.007 | Predicted: -0.007 | Diff: 0.000
Z: 6.0 | positon: (1.45,-0.47,5.31) | Expt.Chrg: -0.441 | Predicted: -0.008 | Diff: -0.433
Z: 7.0 | positon: (0.30,0.59,5.31) | Expt.Chrg: -0.166 | Predicted: -0.043 | Diff: -0.123
Z: 6.0 | positon: (-0.25,1.27,6.35) | Expt.Chrg: -0.016 | Predicted: -0.009 | Diff: -0.008
Z: 6.0 | positon: (-1.10,2.22,4.69) | Expt.Chrg: -0.159 | Predicted: -0.009 | Diff: -0.150
Z: 6.0 | positon: (-1.23,1.31,5.12) | Expt.Chrg: -0.137 | Predicted: -0.009 | Diff: -0.128
Z: 6.0 | positon: (-2.28,-0.74,4.60) | Expt.Chrg: -0.249 | Predicted: -0.010 | Diff: -0.239
Z: 6.0 | positon: (-0.06,-1.26,5.15) | Expt.Chrg: -0.008 | Predicted: -0.008 | Diff: 0.000
Z: 7.0 | positon: (0.54,-0.63,5.43) | Expt.Chrg: 0.071 | Predicted: -0.045 | Diff: 0.116
Z: 1.0 | positon: (-0.33,0.65,1.07) | Expt.Chrg: 0.175 | Predicted: 0.030 | Diff: 0.145
Z: 1.0 | positon: (2.93,0.23,5.39) | Expt.Chrg: 0.262 | Predicted: 0.030 | Diff: 0.232
Z: 1.0 | positon: (2.02,2.04,5.79) | Expt.Chrg: -0.001 | Predicted: 0.030 | Diff: -0.032
Z: 1.0 | positon: (-1.08,1.48,6.89) | Expt.Chrg: 0.203 | Predicted: 0.030 | Diff: 0.173
Z: 1.0 | positon: (0.05,3.38,7.00) | Expt.Chrg: -0.100 | Predicted: 0.030 | Diff: -0.130
Z: 1.0 | positon: (-2.28,2.55,5.76) | Expt.Chrg: 0.272 | Predicted: 0.030 | Diff: 0.242
Z: 1.0 | positon: (-1.35,2.47,4.29) | Expt.Chrg: -0.025 | Predicted: 0.030 | Diff: -0.056
Z: 1.0 | positon: (-3.26,1.36,4.71) | Expt.Chrg: -0.048 | Predicted: 0.030 | Diff: -0.079
Z: 1.0 | positon: (-1.47,0.59,3.73) | Expt.Chrg: 0.253 | Predicted: 0.030 | Diff: 0.223
Z: 1.0 | positon: (-3.47,-0.98,6.44) | Expt.Chrg: 0.183 | Predicted: 0.030 | Diff: 0.153
Z: 1.0 | positon: (-2.53,-1.55,3.69) | Expt.Chrg: 0.100 | Predicted: 0.030 | Diff: 0.069
Z: 1.0 | positon: (-1.14,-0.66,7.23) | Expt.Chrg: -0.202 | Predicted: 0.030 | Diff: -0.232
Z: 1.0 | positon: (-0.28,-2.92,5.16) | Expt.Chrg: 0.285 | Predicted: 0.030 | Diff: 0.255
******************************************************
********************For 3th molecule****************
Z: 17.0 | positon: (4.00,-0.01,-0.08) | Expt.Chrg: 0.788 | Predicted: 0.101 | Diff: 0.686
Z: 6.0 | positon: (2.62,0.28,-0.17) | Expt.Chrg: -0.217 | Predicted: -0.068 | Diff: -0.149
Z: 7.0 | positon: (2.76,-0.86,0.25) | Expt.Chrg: -0.554 | Predicted: -0.067 | Diff: -0.488
Z: 6.0 | positon: (1.19,-1.06,0.84) | Expt.Chrg: 0.073 | Predicted: -0.069 | Diff: 0.142
Z: 17.0 | positon: (0.58,-2.58,0.66) | Expt.Chrg: 0.457 | Predicted: 0.100 | Diff: 0.357
Z: 6.0 | positon: (-0.46,-1.02,0.65) | Expt.Chrg: -0.808 | Predicted: -0.068 | Diff: -0.740
Z: 16.0 | positon: (-1.23,-0.71,-0.14) | Expt.Chrg: 1.106 | Predicted: 0.088 | Diff: 1.018
Z: 6.0 | positon: (-2.42,1.67,-0.17) | Expt.Chrg: -0.816 | Predicted: -0.066 | Diff: -0.750
Z: 16.0 | positon: (-3.65,1.90,-0.37) | Expt.Chrg: 0.485 | Predicted: 0.094 | Diff: 0.392
Z: 16.0 | positon: (-0.61,2.74,-0.88) | Expt.Chrg: 0.177 | Predicted: 0.089 | Diff: 0.088
